No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,Cluster
1,2013,3,1,0,6.0,6.0,4.0,8.0,300.0,81.0,-0.5,1024.5,-21.4,0.0,NNW,5.7,Tiantan,Good
2,2013,3,1,1,6.0,29.0,5.0,9.0,300.0,80.0,-0.7,1025.1,-22.1,0.0,NW,3.9,Tiantan,Good
3,2013,3,1,2,6.0,6.0,4.0,12.0,300.0,75.0,-1.2,1025.3,-24.6,0.0,NNW,5.3,Tiantan,Good
4,2013,3,1,3,6.0,6.0,4.0,12.0,300.0,74.0,-1.4,1026.2,-25.5,0.0,N,4.9,Tiantan,Good
5,2013,3,1,4,5.0,5.0,7.0,15.0,400.0,70.0,-1.9,1027.1,-24.5,0.0,NNW,3.2,Tiantan,Good
6,2013,3,1,5,10.0,10.0,12.0,15.0,400.0,70.0,-2.4,1027.5,-21.3,0.0,NW,2.4,Tiantan,Good
7,2013,3,1,6,8.0,19.0,12.0,14.0,400.0,72.0,-2.5,1028.2,-20.4,0.0,NW,2.2,Tiantan,Good
8,2013,3,1,7,7.0,7.0,12.0,19.0,400.0,67.0,-1.4,1029.5,-20.4,0.0,NNW,3.0,Tiantan,Good
9,2013,3,1,8,3.0,6.0,14.0,29.0,500.0,56.0,-0.3,1030.4,-21.2,0.0,NW,4.6,Tiantan,Good
10,2013,3,1,9,8.0,2.0,11.0,22.0,500.0,65.0,0.4,1030.5,-23.3,0.0,N,5.5,Tiantan,Good
11,2013,3,1,10,9.0,9.0,8.0,17.0,400.0,72.0,1.4,1030.2,-22.5,0.0,N,5.2,Tiantan,Good
12,2013,3,1,11,9.0,23.0,8.0,16.0,400.0,75.0,2.9,1029.8,-22.9,0.0,NNW,5.3,Tiantan,Good
13,2013,3,1,12,9.0,19.0,7.0,16.0,400.0,76.0,4.0,1028.6,-21.2,0.0,W,4.6,Tiantan,Good
14,2013,3,1,13,10.0,34.0,7.0,12.0,400.0,81.0,5.0,1027.8,-21.2,0.0,NW,4.5,Tiantan,Good
15,2013,3,1,14,10.0,19.0,6.0,12.0,400.0,83.0,6.2,1027.6,-22.2,0.0,NW,4.0,Tiantan,Good
16,2013,3,1,15,3.0,6.0,6.0,15.0,400.0,81.0,6.0,1027.7,-21.3,0.0,NNW,2.1,Tiantan,Good
17,2013,3,1,16,8.0,22.0,7.0,14.0,300.0,82.0,5.6,1027.7,-20.7,0.0,N,1.8,Tiantan,Good
18,2013,3,1,17,10.0,28.0,9.0,21.0,400.0,75.0,4.4,1028.2,-20.9,0.0,N,3.5,Tiantan,Good
19,2013,3,1,18,11.0,21.0,10.0,28.0,500.0,66.0,3.2,1029.4,-20.3,0.0,NNW,0.5,Tiantan,Good
20,2013,3,1,19,12.0,4.0,7.0,39.0,600.0,53.0,3.0,1030.1,-19.7,0.0,N,1.1,Tiantan,Good
21,2013,3,1,20,12.0,16.0,8.0,30.0,500.0,60.0,1.6,1031.3,-19.0,0.0,ENE,1.2,Tiantan,Good
